ticket_id,ticket_text
T001,How do I reset my password on HackerRank?
T002,My Claude Pro subscription charged me twice this month. I need a refund.
T003,Someone made an unauthorized transaction on my Visa card. Please help.
T004,The coding IDE on HackerRank keeps timing out during my assessment.
T005,How many messages can I send per day on Claude free plan?
T006,How do I dispute a Visa charge that I don't recognize?
T007,I cannot log into my HackerRank account. It says my account is suspended.
T008,Can I use Claude for commercial projects?
T009,My Visa card was stolen. There are fraudulent charges on it.
T010,How do I invite candidates to take a HackerRank assessment?
